"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"44","RT @markgkenny: No pattern emerging here? Top bureaucrat questioned Minister before being sacked https://t.co/5voWedekna via @smh",FALSE,0,NA,2016-10-28 07:16:07,FALSE,NA,"791901341924757504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MargPekin",129,TRUE,FALSE,NA,NA
"45","#agriculture #jobs Grain Handler: NSW-North Western, HARVEST CASUAL JOBS AVAILABLE! Work available at sites i... https://t.co/q7RgjM9hmq",FALSE,0,NA,2016-10-28 07:16:00,FALSE,NA,"791901314074619904",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","AgricultureWork",0,FALSE,FALSE,NA,NA
"46","RT @9grrepublican: APC  brought in foreign technical advisers to win elections.

Why not bring in the global best to advise on the economy…",FALSE,0,NA,2016-10-28 07:15:55,FALSE,NA,"791901292096618498",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cutieswits",118,TRUE,FALSE,NA,NA
"47","RT @AgFunder: .@ByrumJoseph of @Syngenta makes a case for open #innovation in #agriculture in a recent guest post https://t.co/S03nyW1zmQ h…",FALSE,0,NA,2016-10-28 07:15:39,FALSE,NA,"791901223674900480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mbellini3",5,TRUE,FALSE,NA,NA
"48","Invest in #Soil; Sustain Life: https://t.co/aOq3FmMRCv #LifeFromLand #Sustainablefarming #agriculture https://t.co/YmJxLpgq56",FALSE,0,NA,2016-10-28 07:15:16,FALSE,NA,"791901130037092353",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","hallertweets",0,FALSE,FALSE,NA,NA
"49","Digitally transforming Australian agriculture:&gt; https://t.co/Irvk8qLXar",FALSE,0,NA,2016-10-28 07:15:10,FALSE,NA,"791901102946000896",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","connectikpeople",0,FALSE,FALSE,NA,NA
"50","RT @patcong0303: @ibmwow @drotek and @sogeti leveraging @IBMWatson @WatsonIoT to improve agriculture yield &amp; efficiency to meet hunger &amp; in…",FALSE,0,NA,2016-10-28 07:15:05,FALSE,NA,"791901080737181696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vince_io",3,TRUE,FALSE,NA,NA
"51","National Consultant Agronomist – Horticulture at the Food and Agriculture Organization of the Unit... https://t.co/fy4g3w75Ub",FALSE,0,NA,2016-10-28 07:14:48,FALSE,NA,"791901009077424128",NA,"<a href=""http://www.networkedblogs.com/"" rel=""nofollow"">NetworkedBlogs</a>","jobfastng",0,FALSE,FALSE,NA,NA
"52","RT @Cowspiracy: Animal agriculture is responsible for up to 91% of Amazon destruction. // #repost thanks for… https://t.co/ILu8c42KOo",FALSE,0,NA,2016-10-28 07:14:37,FALSE,NA,"791900963598692352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EvieAParker",60,TRUE,FALSE,NA,NA
"53","RT @EricssonAfrica: An opportunity for start-ups to showcase solutions that will transform agriculture across Sub-Saharan Africa. Enter #EI…",FALSE,0,NA,2016-10-28 07:14:35,FALSE,NA,"791900957110067200",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cronje_nicola",5,TRUE,FALSE,NA,NA
"54","RT @FAOKnowledge: Building long-term scenarios for food &amp; #agriculture to achieve permanent &amp; universal food &amp; #nutrition security https://…",FALSE,0,NA,2016-10-28 07:14:27,FALSE,NA,"791900924570660864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MaleneArboeR",11,TRUE,FALSE,NA,NA
"55","Agriculture, Economics and Nature
University of Western Australia
Grade Achieved: 76.5%  |    Add to Profile",FALSE,0,"parvenbd",2016-10-28 07:14:10,FALSE,"775472313835761664","791900851245768704","2386378975","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","parvenbd",0,FALSE,FALSE,NA,NA
"56","RT @teddyboygeorge: i want ""animal agriculture is the leading cause of species extinction, ocean dead zones, water pollution, &amp; habitat des…",FALSE,0,NA,2016-10-28 07:14:09,FALSE,NA,"791900848771231744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mariaanalo",5,TRUE,FALSE,NA,NA
"57","King, Farm Bureau talk ACA, agriculture - Spencer Daily Reporter https://t.co/u7c3BHvgqj",FALSE,0,NA,2016-10-28 07:14:08,FALSE,NA,"791900844631334912",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","Agriculturenew1",0,FALSE,FALSE,NA,NA
